Time,Strain_Energy,Surface_Energy,Impactor_KE,Domain_KE,Imp_disp,dom_hit_disp
0.35,21.53877457609626,0.002197058902932248,7984.597345768344,13.725410470026715,1.1187298557725588e-05,8.991585140352803e-06
0.36,21.675658430421798,0.0024885177758613613,7983.5099013358795,14.211699896987104,1.150652687464631e-05,9.175311936947944e-06
0.37,21.759114880567772,0.00281067390481755,7982.317196084156,14.749760361795383,1.1825732476107288e-05,9.342308213601891e-06
0.38,21.823201081912902,0.0031633927339979697,7981.004818639374,15.3180080151118,1.2144913101477632e-05,9.496574352003371e-06
0.39,21.900281364770787,0.0035448061628086305,7979.560796083392,15.900396487455655,1.2464066222054722e-05,9.642600915632478e-06
0.39999999999999997,22.01915212916728,0.003950665400820316,7977.976341608753,16.489424099854528,1.2783189097176393e-05,9.785247952899805e-06
0.41,22.203676753739558,0.004375298415666127,7976.246563491615,17.088036337820093,1.3102278845251455e-05,9.929602486092086e-06
0.42,22.472057814475562,0.004813052979263737,7974.371065114359,17.710017284050554,1.3421332528260423e-05,1.0080817464963724e-05
0.43,22.83679319974559,0.005262145173448263,7972.354368029134,18.37862776201426,1.3740347246851237e-05,1.0243937394380715e-05
0.44,23.305282222064637,0.005735582446167724,7970.206101081575,19.12348594574825,1.4059320241863452e-05,1.042371751663521e-05
0.45,23.88098421575279,0.006246774527709286,7967.940914407469,19.975978805211085,1.4378248997124203e-05,1.062444481652781e-05
0.45999999999999996,24.564899582376025,0.006805114299273963,7965.578098567649,20.963774428026735,1.4697131337691108e-05,1.0849769805299447e-05
0.47,25.3571112690796,0.007445145732875383,7963.140914187896,22.105220897664175,1.5015965517583161e-05,1.110255819848203e-05
0.48000000000000004,26.25819919803525,0.008182857805625452,7960.6556628951475,23.40452192330354,1.5334750291367886e-05,1.1384770904243903e-05
0.49,27.270207137726278,0.00900228419198147,7958.150554143691,24.84852306971175,1.565348496485889e-05,1.1697379416537576e-05
0.5,28.396953255286643,0.009918152652169703,7955.654441961889,26.40573648211003,1.5972169421453797e-05,1.2040321686669639e-05
0.51,29.643736387860198,0.010942700377105865,7953.195517442146,28.027889693590193,1.6290804122317684e-05,1.2412501168645486e-05
0.52,31.01637932433505,0.012072690763027784,7950.800045553117,29.65388036702165,1.6609390080365175e-05,1.2811829045761657e-05
0.53,32.5197228612251,0.013312065090571647,7948.491233750226,31.215652087492252,1.6927928809796546e-05,1.3235306959518718e-05
0.54,34.155819697242464,0.014663420042548132,7946.288303833621,32.64518299144613,1.724642225465069e-05,1.3679145273976265e-05
0.55,35.92212846585527,0.01612724665146418,7944.205819042106,33.88160060021799,1.7564872701007952e-05,1.4138909775179207e-05
0.56,37.80992993095347,0.017713791563100295,7942.253297014859,34.877475990014034,1.7883282678409605e-05,1.4609688452530809e-05
0.5700000000000001,39.80327403218412,0.019425240037629347,7940.435111742621,35.603502946143564,1.820165485637552e-05,1.5086269409878376e-05
0.5800000000000001,41.878597797139385,0.021261934834006815,7938.750661809252,36.05103344222292,1.8519991941729893e-05,1.5563321048567346e-05
0.59,44.00513828088476,0.023208770936456586,7937.194763564869,36.23228347693714,1.8838296581724194e-05,1.6035566453277586e-05
0.6,46.14611485798587,0.025258057926046285,7935.758209255592,36.178356598542265,1.915657127701723e-05,1.6497945251194322e-05
0.61,48.260607762851606,0.027407512798830035,7934.428421815962,35.935499596321,1.9474818307100456e-05,1.6945757965449067e-05
0.62,50.30595568625985,0.02966284554356613,7933.190137623572,35.56017133224174,1.9793039669489805e-05,1.7374789859602003e-05
0.63,52.24047033928734,0.032009252989668106,7932.026052505247,35.113562089862924,2.0111237032510726e-05,1.7781413156378705e-05
0.64,54.026094296031914,0.03451868565715456,7930.917382965942,34.656171887144644,2.0429411700396733e-05,1.8162668183539806e-05
0.65,55.63116183113614,0.03713313801858837,7929.844313145482,34.242939351035595,2.074756458859261e-05,1.851632520295749e-05
0.66,57.03244819494563,0.03982170004251356,7928.786324686011,33.91929995659218,2.106569620679335e-05,1.8840929392613605e-05
0.67,58.216731116184704,0.042630737131671766,7927.722431525837,33.718414380844706,2.1383806647490027e-05,1.9135831232184577e-05
0.68,59.18177510667935,0.04563418301502871,7926.631364595993,33.65967830296121,2.1701895578433534e-05,1.9401203934856035e-05
0.6900000000000001,59.936601106063776,0.048802144242551526,7925.491762887522,33.74856348828068,2.201996223858757e-05,1.9638048291341572e-05
0.7,60.50080646881521,0.0521045462563129,7924.282429561355,33.97777146924185,2.233800543824735e-05,1.984818395892595e-05
0.71,60.90321495083791,0.05554204927627771,7922.982701161725,34.329622158483446,2.26560235652489e-05,2.0034224950666094e-05
0.72,61.17996107165133,0.05911598775516325,7921.572955520204,34.77950443533859,2.2974014599877975e-05,2.0199536292297918e-05
0.73,61.372093154277124,0.06283014038134446,7920.035260431944,35.30010352472659,2.3291976141432863e-05,2.0348168611185217e-05
0.74,61.522956080093095,0.0666710116350347,7918.35413652511,35.86598200136358,2.3609905449141114e-05,2.0484767967187783e-05
0.75,61.67554190688542,0.07062729686083923,7916.517385702092,36.45796857614879,2.3927799499327053e-05,2.061445943643951e-05
0.76,61.87011224245798,0.07468153605877957,7914.516916843331,37.06673834496542,2.42456550595881e-05,2.0742704725611162e-05
0.77,62.142283182249855,0.07880933393744013,7912.349490965952,37.694975170048295,2.4563468779144387e-05,2.0875136187830665e-05
0.78,62.521749383805556,0.08297945932234763,7910.017307240072,38.357625102146415,2.488123729300701e-05,2.1017371855313298e-05
0.79,63.03171105271402,0.08718097731080145,7907.528355088802,39.07999579096633,2.5198957335976638e-05,2.117481826523138e-05
0.7999999999999999,63.68897376201702,0.0914806956523021,7904.896474716088,39.89378400484148,2.551662586111658e-05,2.135246964580349e-05
0.8099999999999999,64.50499764344906,0.0957339497042132,7902.141087985365,40.831461108186666,2.5834240156386314e-05,2.1554713341138082e-05
0.82,65.48676072604574,0.09990216575932234,7899.286590755068,41.91983057626809,2.6151797952535564e-05,2.178515183171279e-05
0.83,66.63816132609372,0.1039514245138838,7896.361427470999,43.173761560647655,2.6469297515562357e-05,2.204645152088193e-05
0.84,67.9612156290473,0.10785593791870482,7893.396895638518,44.59114835588343,2.6786737717644372e-05,2.2340227330918148e-05
0.85,69.45677939429657,0.11171131864459291,7890.425755905547,46.15005250327707,2.7104118081729738e-05,2.266697020863311e-05
0.86,71.12446980313446,0.11611403971821573,7887.480740379259,47.80863437106845,2.7421438796716607e-05,2.3026022140004144e-05
0.87,72.96371535540108,0.12081186878800684,7884.593063566526,49.508011676025426,2.7738700702113138e-05,2.3415600370621892e-05
0.88,74.971768231634,0.12588073431222363,7881.79103742485,51.17772223268254,2.8055905243296825e-05,2.3832868849304763e-05
0.89,77.14284641313873,0.13133920853256087,7879.0988819986915,52.743035435362984,2.837305440035415e-05,2.4274052939089586e-05
0.9,79.46668231361282,0.13719528048228813,7876.535805663886,54.13303324528686,2.869015059531316e-05,2.4734590223043756e-05
0.9099999999999999,81.92726882204741,0.1433998494214188,7874.115400784008,55.288305413394944,2.900719658375303e-05,2.520930848912851e-05
0.9199999999999999,84.50182939890264,0.14993294303675408,7871.8453721209735,56.16720544823202,2.9324195337476015e-05,2.5692620892621314e-05
0.9299999999999999,87.16046805445693,0.1567860827172543,7869.727585774802,56.74988957272903,2.9641149924951238e-05,2.6178728077043885e-05
0.94,89.86658001895799,0.16387120538576697,7867.758399563415,57.039742903679276,2.9958063395746406e-05,2.666181757458105e-05
0.95,92.57788451349526,0.17109518756959943,7865.929213471541,57.06220126539639,3.0274938674102075e-05,2.713625218387092e-05
0.9600000000000001,95.24817828616119,0.1783751052442402,7864.227167572881,56.861327281679436,3.059177846540062e-05,2.7596740792703098e-05
0.9700000000000001,97.82965987259625,0.1856318358160033,7862.635907851337,56.49474781326423,3.0908585177763684e-05,2.803848727151006e-05
0.98,100.27558473545938,0.19280582936569668,7861.136343984542,56.027679315634295,3.122536085931896e-05,2.845731525471357e-05
0.9900000000000001,102.54313626606097,0.19976277316185362,7859.70734100773,55.526765836276475,3.15421071503055e-05,2.884976861008007e-05
1.0,104.59579806834311,0.20660408952418105,7858.326303760476,55.0543592121616,3.185882524820551e-05,2.9213188941337896e-05
1.01,106.40608981695024,0.2132659540749889,7856.969639733105,54.66372774577524,3.217551588340794e-05,2.954577247874e-05
1.02,107.95711096138189,0.21979859847052943,7855.6131179513795,54.39550057847728,3.2492179303002425e-05,2.984660870419269e-05
1.03,109.24404538231502,0.22602381204047048,7854.232164051654,54.27555600302883,3.280881526091209e-05,3.011570228979081e-05
1.04,110.27424150977208,0.23185255433575452,7852.80214476776,54.31444502279344,3.312542301357962e-05,3.0353979489871846e-05
1.05,111.06689528160386,0.23722849773640067,7851.298704749508,54.508330189195966,3.344200132155476e-05,3.056327828185398e-05
1.06,111.65193903536712,0.24210904000884137,7849.698209297041,54.841363130818685,3.375854845873669e-05,3.074632025402169e-05
1.0699999999999998,112.06819626054697,0.24650969354807217,7847.978322903742,55.28932309818124,3.4075062231780704e-05,3.0906661329528336e-05
1.08,112.36092131314554,0.2506526102142695,7846.118729407397,55.82419972542275,3.43915400126344e-05,3.1048618126821326e-05
1.0899999999999999,112.57952417069575,0.254536309857042,7844.101969210825,56.41924550698329,3.470797878695472e-05,3.117716725465628e-05
1.1,112.77465440826893,0.25814292392378885,7841.914344497193,57.05388211850324,3.5024375220393624e-05,3.129781598905092e-05
1.1099999999999999,112.99553492734303,0.26149252431778586,7839.546818494267,57.71777043980289,3.534072574353599e-05,3.141644461907944e-05
1.12,113.2877056831026,0.2646920474526736,7836.995823340314,58.41331944180478,3.5657026654511105e-05,3.1539122986747425e-05
1.13,113.69155866479609,0.2677518177793366,7834.263890083771,59.15604974220928,3.597327423662312e-05,3.167190657244895e-05
1.1400000000000001,114.24127939591664,0.27068566087675283,7831.360018014493,59.97253538660398,3.6289464886540936e-05,3.182061950662583e-05
1.15,114.96453249909004,0.27354067209615357,7828.299716991541,60.896002393499394,3.660559524705069e-05,3.199063405151319e-05
1.1600000000000001,115.88277560127369,0.27638165776923646,7825.104684069366,61.960098257549724,3.692166233722194e-05,3.218665749985803e-05
1.17,117.01202738741067,0.2792242927249691,7821.80210285453,63.19174046307956,3.723766367240809e-05,3.241253805266324e-05
1.18,118.36368981255512,0.28208009452847016,7818.423590134643,64.60421552371044,3.755359736643376e-05,3.267110091210523e-05
1.19,119.9452531003265,0.2850308418050864,7815.003846171226,66.19175838262242,3.78694622093447e-05,3.296402453532468e-05
1.2,121.76075602690088,0.2882376403652683,7811.57909260811,67.92666558595064,3.818525771531256e-05,3.32917648234673e-05
1.21,123.81050978211088,0.29222762835267935,7808.185407518101,69.75960847423642,3.850098413742888e-05,3.365353213596871e-05
1.22,126.09086642855878,0.29761864988507525,7804.857068764042,71.62327067160135,3.881664244838473e-05,3.4047322564741405e-05
1.23,128.5946082795538,0.3038125248081837,7801.625023993607,73.43885362764817,3.913223428825448e-05,3.4470001510328795e-05
1.24,131.30887099807094,0.3100167508572353,7798.515588253507,75.12451146438657,3.944776188317077e-05,3.491743431001161e-05
1.25,134.2131047367764,0.31614891512109977,7795.549445305532,76.60446314760183,3.9763227940213374e-05,3.5384655945016415e-05
1.26,137.278905893761,0.32217150561114916,7792.741005207465,77.81743227948792,4.0078635525408e-05,3.586606963254068e-05
1.27,140.4697355260986,0.32804374597193325,7790.098132385937,78.72322705521628,4.039398793231914e-05,3.635566311181627e-05
