Displacement,Load
0.0,0.0
0.0030303030303030303,4.514677762200829
0.006060606060606061,9.02928218008187
0.00909090909090909,13.543739790737806
0.012121212121212121,18.057976890030044
0.015151515151515152,22.5719194086011
0.01818181818181818,27.085492786490548
0.021212121212121213,31.598621845775575
0.024242424242424242,36.11123066073862
0.02727272727272727,40.623242425059956
0.030303030303030304,45.13457931536484
0.03333333333333333,49.64516235054375
0.03636363636363636,54.15491124644843
0.03939393939393939,58.66374426478912
0.04242424242424243,63.17157805622729
0.045454545454545456,67.67832749595075
0.048484848484848485,72.1839055121199
0.051515151515151514,76.68822290499003
0.05454545454545454,81.19118815673986
0.05757575757575758,85.69270723038409
0.06060606060606061,90.19268335702601
0.06363636363636363,94.69101680949466
0.06666666666666667,99.18760466174687
0.0696969696969697,103.68234053224694
0.07272727272727272,108.17511430855993
0.07575757575757576,112.66581185371602
0.07878787878787878,117.154314689187
0.08181818181818182,121.64049965412447
0.08484848484848485,126.12423853780489
0.08787878787878788,130.60539768121308
0.09090909090909091,135.08383754615062
0.09393939393939393,139.55941224651494
0.09696969696969697,144.03196903782475
0.1,148.5013477606023
0.10303030303030303,152.967380230485
0.10606060606060606,157.42988957026319
0.10909090909090909,161.8886894754829
0.11212121212121212,166.3435834053887
0.11515151515151516,170.79436368953208
0.11818181818181818,175.2408105351513
0.12121212121212122,179.68269093119162
0.12424242424242424,184.11975741785963
0.12727272727272726,188.5517467197268
0.1303030303030303,192.97837820901958
0.13333333333333333,197.39935218152118
0.13636363636363635,201.8143479042834
0.1393939393939394,206.22302140979875
0.14242424242424243,210.6250029805307
0.14545454545454545,215.0198942811505
0.1484848484848485,219.40726506871252
0.15151515151515152,223.78664938453252
0.15454545454545454,228.15754117987314
0.15757575757575756,232.5193891819464
0.1606060606060606,236.87159087354806
0.16363636363636364,241.21348543160914
0.16666666666666666,245.5443452886686
0.1696969696969697,249.8633660910562
0.17272727272727273,254.1696545013013
0.17575757575757575,258.4622134866053
0.1787878787878788,262.73992409644706
0.18181818181818182,267.00152284807456
0.18484848484848485,271.24557327935554
0.18787878787878787,275.47042970597664
0.19090909090909092,279.67419056946005
0.19393939393939394,283.85463659788866
0.19696969696969696,288.00914787006286
0.2,292.13459045580106
0.20303030303030303,296.22715629213604
0.20606060606060606,300.28213257708944
0.20909090909090908,304.2935528761569
0.21212121212121213,308.25365092371084
0.21515151515151515,312.1519577596875
0.21818181818181817,315.9740096672699
0.22121212121212122,319.6967215372109
0.22424242424242424,323.2845697129616
0.22727272727272727,326.66865139621547
0.23030303030303031,329.6812240824294
0.23333333333333334,331.37132443866767
0.23636363636363636,0.07397306547010189
0.23939393939393938,0.07159031117076188
0.24242424242424243,0.06931613045257284
0.24545454545454545,0.06714320623109897
0.24848484848484848,0.06506432241443663
0.2515151515151515,0.06307366362772258
0.2545454545454545,0.061165837777553356
0.25757575757575757,0.059336013697859305
0.2606060606060606,0.05757981308697113
0.2636363636363636,0.05589323294944151
0.26666666666666666,0.05427259221597436
0.2696969696969697,0.052714487288935505
0.2727272727272727,0.051215760765561044
0.27575757575757576,0.04977347320445478
0.2787878787878788,0.0483848804364689
0.2818181818181818,0.047047416753702484
0.28484848484848485,0.045758676643958086
0.2878787878787879,0.04451639987331216
0.2909090909090909,0.04331846180954179
0.29393939393939394,0.04216286238760816
0.296969696969697,0.04104771553380835
0.3,0.039971241474460247
