Displacement,Load
0.0,0.0
0.0005102040816326531,-2.530886051812825
0.0010204081632653062,-5.0604172209119955
0.0015306122448979593,-7.587237407857397
0.0020408163265306124,-10.109986200250711
0.0025510204081632655,-12.627295414748865
0.0030612244897959186,-15.137785313428207
0.0035714285714285718,-17.6400603272828
0.004081632653061225,-20.1327040850174
0.004591836734693878,-22.614273493173805
0.005102040816326531,-25.08329153672221
0.005612244897959184,-27.538238358150636
0.006122448979591837,-29.977540005809516
0.00663265306122449,-32.399554000431266
0.0071428571428571435,-34.80255048781888
0.007653061224489797,-37.18468719467523
0.00816326530612245,-39.5439754114767
0.008673469387755102,-41.87823293054682
0.009183673469387756,-44.18501705752345
0.00969387755102041,-46.461526983495474
0.010204081632653062,-48.7044560271448
0.010714285714285714,-50.909761351246836
0.011224489795918368,-53.07228810826582
0.011734693877551022,-55.18512246218631
0.012244897959183675,-57.1647603851683
0.012755102040816327,-59.094430339942015
0.01326530612244898,-60.58312647383943
0.013775510204081635,-0.38048083757025963
0.014285714285714287,-0.31947406133086576
0.01479591836734694,-0.2923033219384815
0.015306122448979593,-0.2684570394815849
0.015816326530612247,-0.2471284425659113
0.0163265306122449,-0.22798789109847095
0.01683673469387755,-0.21076014601758736
0.017346938775510204,-0.1952110939492598
0.01785714285714286,-0.18114063451749995
0.018367346938775512,-0.1683769587604345
0.018877551020408164,-0.15677190896752852
0.01938775510204082,-0.14619720124788219
0.019897959183673472,-0.13654133582080855
0.020408163265306124,-0.1277070542642022
0.020918367346938777,-0.11960923628208976
0.02142857142857143,-0.11217315055686214
0.021938775510204084,-0.10533299192120357
0.022448979591836737,-0.09903065302141587
0.02295918367346939,-0.09321468779476663
0.023469387755102045,-0.08783943310281879
0.023979591836734697,-0.0828642619376752
0.02448979591836735,-0.07825294540936222
0.025,-0.07397310632233295
