Time,Strain_Energy,Surface_Energy,crack_tip_x,crack_tip_y
9.5e-07,33.60965176848327,0.0001364665655629829,0.049,0.025
9.600000000000001e-07,34.72124345419107,0.00014682170540758683,0.049,0.025
9.7e-07,35.856860463684505,0.00015781694067614204,0.049,0.025
9.8e-07,37.016742185666395,0.00016948319417252415,0.049,0.025
9.9e-07,38.20113484820131,0.00018185237686052147,0.049,0.025
1e-06,39.41029264088681,0.00019495743615515209,0.049,0.025
1.01e-06,40.64447798591141,0.00020883222909857057,0.049,0.025
1.02e-06,41.886014895436126,0.00022349444730954213,0.049,0.025
1.03e-06,43.134777223745125,0.00023897661965684584,0.049,0.025
1.04e-06,44.39060051396296,0.00025531022142107117,0.049,0.025
1.0500000000000001e-06,45.653269616445506,0.0002725257108185608,0.049,0.025
1.06e-06,46.92250802075721,0.0002906519848443427,0.049,0.025
1.07e-06,48.19797031592717,0.00030971633159929113,0.049,0.025
1.08e-06,49.47923905497051,0.000329744288302106,0.049,0.025
1.09e-06,50.76582692074491,0.00035075990781700806,0.049,0.025
1.1e-06,52.05718453082556,0.00037278588086228333,0.049,0.025
1.11e-06,53.3527135574019,0.00039584413428229217,0.049,0.025
1.12e-06,54.65178419144256,0.0004199562681442141,0.049,0.025
1.13e-06,55.953755447436876,0.00044514417569575695,0.049,0.025
1.14e-06,57.257996481590226,0.0004714304151335767,0.049,0.025
1.15e-06,58.56390702790339,0.0004988378129458017,0.049,0.025
1.1600000000000001e-06,59.87093524463349,0.000527389245395369,0.049,0.025
1.17e-06,61.17859167407529,0.0005571073939565599,0.049,0.025
1.18e-06,62.486458565899994,0.0005880136628253625,0.049,0.025
1.19e-06,63.7941943959207,0.0006201271276488342,0.049,0.025
1.2e-06,65.10153393628977,0.0006534654037118127,0.049,0.025
1.21e-06,66.4082846356244,0.000688043121796975,0.049,0.025
1.22e-06,67.71432026427156,0.0007238682569736714,0.049,0.025
1.23e-06,69.01957279277508,0.0007609445627510051,0.049,0.025
1.24e-06,70.32402337153788,0.000799272113022531,0.049,0.025
1.25e-06,71.627693039655,0.0008388481516770214,0.049,0.025
1.26e-06,72.93063355101904,0.0008796677299545429,0.049,0.025
