Time,Strain_Energy,Surface_Energy,crack_tip_x,crack_tip_y
0.0,0.0,0.22780086129360771,0.05,0.02
0.01,0.0,0.22780086129360771,0.05,0.02
0.02,5.116727103235043e-05,0.2278008669955232,0.05,0.02
0.030000000000000002,0.00023874714080853124,0.22780099962640588,0.05,0.02
0.04,0.00038909933861715093,0.22780124650770797,0.05,0.02
0.049999999999999996,0.0004572005021504566,0.22780147421294553,0.05,0.02
0.060000000000000005,0.0005703816591613908,0.227801959884414,0.05,0.02
0.07,0.0007081331576710854,0.22780237154770572,0.05,0.02
0.08,0.0008699966913254736,0.22780280199684647,0.05,0.02
0.09,0.0010362545411845663,0.22780360995789073,0.05,0.02
0.09999999999999999,0.0011120550966132081,0.22780388181232392,0.05,0.02
0.11,0.001151187255926976,0.2278043805591865,0.05,0.02
0.12000000000000001,0.0012157428248807762,0.22780491564725017,0.05,0.02
0.13,0.001294383165721642,0.22780551848156058,0.05,0.02
0.14,0.0014172140229910459,0.22780657945087612,0.05,0.02
0.15,0.0015398911294074572,0.22780711317258467,0.05,0.02
0.16,0.0016278131672629447,0.22780762125703719,0.05,0.02
0.17,0.0017449585106378606,0.22780831116025982,0.05,0.02
0.18,0.0018871223092162281,0.2278090591449043,0.05,0.02
0.19,0.002040229124138272,0.22781008249188425,0.05,0.02
0.19999999999999998,0.002197944688822834,0.2278110065937467,0.05,0.02
0.21,0.002293666299700912,0.22781158206892507,0.05,0.02
0.22,0.0023463702063972356,0.22781220076746378,0.05,0.02
0.22999999999999998,0.00241290212533346,0.22781277460419963,0.05,0.02
0.24000000000000002,0.0024908430648220136,0.2278136706549403,0.05,0.02
0.25,0.002602477184205365,0.22781472226026464,0.05,0.02
0.26,0.002724899575055977,0.2278154514004732,0.05,0.02
0.27,0.0028166899978569583,0.22781597856075472,0.05,0.02
0.28,0.002922048004608725,0.22781645925902666,0.05,0.02
0.29000000000000004,0.003054052206795509,0.22781717194994375,0.05,0.02
0.3,0.003200508014291917,0.22781814451575474,0.05,0.02
0.31,0.0033606078078378316,0.22781897599717615,0.05,0.02
0.32,0.0034767891371050466,0.22781954490245215,0.05,0.02
0.33,0.003542170207764984,0.22782000046305356,0.05,0.02
0.34,0.0036091019189713595,0.22782061574547652,0.05,0.02
0.35,0.003686482138978242,0.22782141176814946,0.05,0.02
0.36,0.0037925044368229866,0.22782241470573183,0.05,0.02
0.37,0.003916937527149259,0.22782315449480708,0.05,0.02
0.38,0.0040126874436205015,0.22782365719847827,0.05,0.02
0.39,0.004105870570051082,0.22782427846922923,0.05,0.02
0.39999999999999997,0.004223568655807702,0.22782491231290988,0.05,0.02
0.41,0.004359399915449748,0.2278259701305724,0.05,0.02
0.42,0.00451788122726622,0.22782682044244887,0.05,0.02
0.43,0.004651381642150086,0.2278276536334354,0.05,0.02
0.44,0.0047327810469210115,0.2278282844100255,0.05,0.02
0.45,0.004804655007153992,0.22782885922692733,0.05,0.02
0.45999999999999996,0.004883175070057412,0.22782989993543218,0.05,0.02
0.47,0.004983909919124953,0.22783081797212704,0.05,0.02
0.48000000000000004,0.005107688628362821,0.22783170043701717,0.05,0.02
0.49,0.005208266663170253,0.22783244656402896,0.05,0.02
0.5,0.005294588567182823,0.22783289953130606,0.05,0.02
0.51,0.005398963377030209,0.22783377204582028,0.05,0.02
0.52,0.005521626255425639,0.2278346736873944,0.05,0.02
